timestamp,temperature,run,tag1,tag2,tag3,summary,latency_ms
2026-08-29 15:14:04,0.0,1,san jose state spartans,fresno state bulldogs,spartan soccer complex,San Jose State Spartans host Fresno State Bulldogs in a Mountain West Conference soccer match.,475926
2026-08-29 15:22:00,0.0,2,spartans vs bulldogs,mountain west soccer,spartan soccer complex,Men's soccer match between San Jose State and Fresno State at Spartan Soccer Complex.,480846
2026-08-29 15:30:01,0.0,3,spartans vs bulldogs,mountain west soccer,spartan soccer complex,Men's soccer match between San Jose State and Fresno State at Spartan Soccer Complex.,426321
2026-08-29 15:37:09,0.0,4,spartans vs bulldogs,mountain west soccer,spartan soccer complex,Men's soccer match between San Jose State and Fresno State at Spartan Soccer Complex.,330193
2026-08-29 15:42:39,0.0,5,spartans vs bulldogs,mountain west soccer,spartan soccer complex,Men's soccer match between San Jose State and Fresno State at Spartan Soccer Complex.,345778
2026-08-29 15:48:25,0.0,6,spartans vs bulldogs,mountain west soccer,spartan soccer complex,Men's soccer match between San Jose State and Fresno State at Spartan Soccer Complex.,311365
2026-08-29 15:53:36,0.0,7,spartans vs bulldogs,mountain west soccer,spartan soccer complex,Men's soccer match between San Jose State and Fresno State at Spartan Soccer Complex.,325877
2026-08-29 15:59:02,0.0,8,spartans vs bulldogs,mountain west soccer,spartan soccer complex,Men's soccer match between San Jose State and Fresno State at Spartan Soccer Complex.,307956
2026-08-29 16:04:10,0.0,9,spartans vs bulldogs,mountain west soccer,spartan soccer complex,Men's soccer match between San Jose State and Fresno State at Spartan Soccer Complex.,367921
2026-08-29 16:10:18,0.0,10,spartans vs bulldogs,mountain west soccer,spartan soccer complex,Men's soccer match between San Jose State and Fresno State at Spartan Soccer Complex.,331272
2026-08-29 16:15:49,0.0,11,spartans vs bulldogs,mountain west soccer,spartan soccer complex,Men's soccer match between San Jose State and Fresno State at Spartan Soccer Complex.,320738
2026-08-29 16:21:10,0.0,12,spartans vs bulldogs,mountain west soccer,spartan soccer complex,Men's soccer match between San Jose State and Fresno State at Spartan Soccer Complex.,309107
